epoch,learning_rate,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_clean_loss,train_clean_accuracy,train_clean_precision,train_clean_recall,train_clean_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,epoch_time_seconds,max_gpu_memory_mb
1,0.001,0.7129738887151083,0.5833333333333334,0.5939849624060151,0.5266666666666666,0.558303886925795,0.8729219500223796,0.5,0.0,0.0,0.0,0.8754774475097656,0.5,0.0,0.0,0.0,11.350018318000366,1516.3
2,0.001,0.6138289260864258,0.66,0.6558441558441559,0.6733333333333333,0.6644736842105263,1.0239367564519246,0.5,0.0,0.0,0.0,1.0592945194244385,0.5,0.0,0.0,0.0,0.9723852420011099,983.9
3,0.001,0.6073165353139242,0.66,0.7,0.56,0.6222222222222222,0.832835988998413,0.51,1.0,0.02,0.0392156862745098,0.8921659231185913,0.49,0.0,0.0,0.0,0.8447373689996311,983.9
4,0.001,0.5694609626134237,0.7166666666666667,0.7443609022556391,0.66,0.6996466431095406,0.7183906714121501,0.5766666666666667,0.8709677419354839,0.18,0.2983425414364641,0.8477087068557739,0.51,0.6,0.06,0.10909090909090909,0.7957312220005406,983.9
5,0.001,0.5635794798533121,0.7033333333333334,0.6967741935483871,0.72,0.7081967213114754,0.6340259377161662,0.6466666666666666,0.8666666666666667,0.3466666666666667,0.49523809523809526,0.8480163621902466,0.51,0.5333333333333333,0.16,0.24615384615384617,0.8191565500001161,983.9
6,0.001,0.5721711778640747,0.7166666666666667,0.751937984496124,0.6466666666666666,0.6953405017921147,0.6292428898811341,0.6566666666666666,0.6017316017316018,0.9266666666666666,0.7296587926509186,0.8039308643341064,0.6,0.5657894736842105,0.86,0.6825396825396826,0.8184568309989118,983.9
7,0.001,0.5388274828592936,0.7233333333333334,0.7481481481481481,0.6733333333333333,0.7087719298245614,0.5569241015116374,0.6866666666666666,0.8111111111111111,0.4866666666666667,0.6083333333333333,0.8190464019775391,0.52,0.5416666666666666,0.26,0.35135135135135137,0.7775788839990128,983.9
8,0.001,0.558088542620341,0.6866666666666666,0.6971830985915493,0.66,0.678082191780822,0.5022792196273804,0.7533333333333333,0.7567567567567568,0.7466666666666667,0.7516778523489933,0.7805318546295166,0.59,0.5957446808510638,0.56,0.5773195876288659,0.8215384020004421,983.9
9,0.001,0.5695228330294291,0.7133333333333334,0.7807017543859649,0.5933333333333334,0.6742424242424242,0.5211177070935568,0.7366666666666667,0.6918918918918919,0.8533333333333334,0.764179104477612,0.7793097639083862,0.54,0.5357142857142857,0.6,0.5660377358490566,0.7943452870003966,983.9
10,0.001,0.5392258739471436,0.7366666666666667,0.7414965986394558,0.7266666666666667,0.734006734006734,0.47744120955467223,0.7733333333333333,0.759493670886076,0.8,0.7792207792207793,0.7668848896026611,0.59,0.6,0.54,0.5684210526315789,0.873740535998877,983.9
11,0.001,0.5416590476036072,0.7366666666666667,0.7028571428571428,0.82,0.7569230769230769,0.4656658395131429,0.78,0.78,0.78,0.78,0.7622277688980102,0.57,0.5813953488372093,0.5,0.5376344086021505,0.8008346380011062,983.9
12,0.001,0.5255712954203288,0.74,0.7769230769230769,0.6733333333333333,0.7214285714285714,0.48289131800333657,0.78,0.8134328358208955,0.7266666666666667,0.7676056338028169,0.7834179973602295,0.54,0.5526315789473685,0.42,0.4772727272727273,0.808939875998476,983.9
13,0.001,0.47096235156059263,0.78,0.7692307692307693,0.8,0.7843137254901961,0.645094952583313,0.67,0.6094420600858369,0.9466666666666667,0.741514360313316,1.0956858849525453,0.47,0.4805194805194805,0.74,0.5826771653543307,0.8174980809999397,983.9
14,0.001,0.5108149862289428,0.74,0.7278481012658228,0.7666666666666667,0.7467532467532467,0.4439927260080973,0.79,0.8222222222222222,0.74,0.7789473684210526,0.8568202495574951,0.54,0.5476190476190477,0.46,0.5,0.8167427420012245,983.9
15,0.001,0.524057875474294,0.7433333333333333,0.7967479674796748,0.6533333333333333,0.717948717948718,0.44501126607259117,0.7966666666666666,0.8296296296296296,0.7466666666666667,0.7859649122807018,0.8093884992599487,0.56,0.5833333333333334,0.42,0.4883720930232558,0.8048683540000638,983.9
16,0.001,0.5507195504506429,0.7033333333333334,0.6894409937888198,0.74,0.7138263665594855,0.47317208687464396,0.8,0.8082191780821918,0.7866666666666666,0.7972972972972973,0.7278181934356689,0.55,0.5641025641025641,0.44,0.4943820224719101,0.822591198999362,983.9
17,0.001,0.500314957300822,0.7633333333333333,0.7548387096774194,0.78,0.7672131147540984,0.5087551800409953,0.75,0.7192982456140351,0.82,0.7663551401869159,0.9079979562759399,0.55,0.5510204081632653,0.54,0.5454545454545454,0.8245140130002255,983.9
18,0.001,0.4992226052284241,0.7533333333333333,0.796875,0.68,0.7338129496402878,0.46179818630218505,0.78,0.9038461538461539,0.6266666666666667,0.7401574803149606,0.8602544784545898,0.55,0.5862068965517241,0.34,0.43037974683544306,0.8037215740005195,983.9
19,0.001,0.46550805966059366,0.7966666666666666,0.7730061349693251,0.84,0.805111821086262,0.5072132158279419,0.72,0.6571428571428571,0.92,0.7666666666666667,0.9189898920059204,0.47,0.47692307692307695,0.62,0.5391304347826087,0.8518987570005265,983.9
20,0.001,0.475979376633962,0.78,0.8,0.7466666666666667,0.7724137931034483,0.5210107479492824,0.73,0.6650717703349283,0.9266666666666666,0.7743732590529248,0.9396804618835449,0.52,0.5166666666666667,0.62,0.5636363636363636,0.8417172949993983,983.9
21,0.001,0.39360329031944274,0.8366666666666667,0.8796992481203008,0.78,0.8268551236749117,0.4300581741333008,0.8166666666666667,0.8925619834710744,0.72,0.7970479704797048,0.7964794254302978,0.61,0.6571428571428571,0.46,0.5411764705882353,0.8055716540002322,983.9
22,0.001,0.43195638378461204,0.8033333333333333,0.7861635220125787,0.8333333333333334,0.8090614886731392,0.39634172836939496,0.81,0.8251748251748252,0.7866666666666666,0.8054607508532423,0.8346800374984741,0.62,0.6428571428571429,0.54,0.5869565217391305,0.8352590089998557,983.9
23,0.001,0.4131425126393636,0.8033333333333333,0.8582677165354331,0.7266666666666667,0.7870036101083032,0.3613776969909668,0.8466666666666667,0.8880597014925373,0.7933333333333333,0.8380281690140845,0.9007778167724609,0.57,0.5897435897435898,0.46,0.5168539325842697,0.7884476250001171,983.9
24,0.001,0.40996703306833904,0.8266666666666667,0.8024691358024691,0.8666666666666667,0.8333333333333334,0.44179293831189476,0.79,0.9578947368421052,0.6066666666666667,0.7428571428571429,0.9600307178497315,0.56,0.65,0.26,0.37142857142857144,0.8230361900004937,983.9
25,0.0005,0.45349477767944335,0.7833333333333333,0.8014184397163121,0.7533333333333333,0.7766323024054983,0.42762668867905934,0.8133333333333334,0.7611111111111111,0.9133333333333333,0.8303030303030303,0.961088638305664,0.6,0.5862068965517241,0.68,0.6296296296296297,0.8223488149997138,983.9
26,0.0005,0.4105109031995138,0.8066666666666666,0.8432835820895522,0.7533333333333333,0.795774647887324,0.39629473368326823,0.8233333333333334,0.9369369369369369,0.6933333333333334,0.7969348659003831,0.8951216888427734,0.56,0.625,0.3,0.40540540540540543,0.832522943001095,983.9
27,0.0005,0.3859367342789968,0.8233333333333334,0.825503355704698,0.82,0.822742474916388,0.3681395546595256,0.8333333333333334,0.9310344827586207,0.72,0.8120300751879699,0.9084185981750488,0.57,0.64,0.32,0.4266666666666667,0.8515743409989227,983.9
28,0.0005,0.3491313540935516,0.85,0.8620689655172413,0.8333333333333334,0.847457627118644,0.3061949501434962,0.87,0.8490566037735849,0.9,0.8737864077669902,0.8752280807495117,0.57,0.5714285714285714,0.56,0.5656565656565656,0.8277033979993575,983.9
29,0.0005,0.3616502598921458,0.84,0.8642857142857143,0.8066666666666666,0.8344827586206897,0.31606077452500664,0.8766666666666667,0.869281045751634,0.8866666666666667,0.8778877887788779,0.936200761795044,0.55,0.5531914893617021,0.52,0.5360824742268041,0.8278945460006071,983.9
30,0.0005,0.32665862878163654,0.88,0.88,0.88,0.88,0.3028059689203898,0.8733333333333333,0.9242424242424242,0.8133333333333334,0.8652482269503546,0.892792992591858,0.57,0.5777777777777777,0.52,0.5473684210526316,0.8373140189996775,983.9
31,0.0005,0.3383921003341675,0.86,0.8506493506493507,0.8733333333333333,0.8618421052631579,0.3201752463976542,0.8633333333333333,0.9504132231404959,0.7666666666666667,0.8487084870848709,0.9257209014892578,0.6,0.65625,0.42,0.5121951219512195,0.8200168660005147,983.9
32,0.0005,0.3213987640539805,0.8666666666666667,0.8767123287671232,0.8533333333333334,0.8648648648648649,0.36806753198305764,0.8233333333333334,0.793939393939394,0.8733333333333333,0.8317460317460318,0.9893878364562988,0.62,0.6363636363636364,0.56,0.5957446808510638,0.8151327460000175,983.9
33,0.0005,0.29551468471686043,0.9033333333333333,0.9006622516556292,0.9066666666666666,0.9036544850498339,0.3128329157829285,0.8633333333333333,0.9037037037037037,0.8133333333333334,0.856140350877193,0.9124158668518066,0.6,0.6388888888888888,0.46,0.5348837209302325,0.8194707010006823,983.9
34,0.00025,0.2955113160610199,0.8933333333333333,0.9214285714285714,0.86,0.8896551724137931,0.3704988278945287,0.8333333333333334,0.7808988764044944,0.9266666666666666,0.8475609756097561,1.0516695642471314,0.55,0.5490196078431373,0.56,0.5544554455445545,0.8435026019997167,983.9
35,0.00025,0.3137930472691854,0.8766666666666667,0.8741721854304636,0.88,0.8770764119601329,0.2648893706003825,0.9033333333333333,0.935251798561151,0.8666666666666667,0.8996539792387543,0.8972137069702149,0.61,0.627906976744186,0.54,0.5806451612903226,0.8308138979991782,983.9
36,0.00025,0.29067310512065886,0.87,0.87248322147651,0.8666666666666667,0.8695652173913043,0.25474319060643513,0.8933333333333333,0.9338235294117647,0.8466666666666667,0.8881118881118881,0.949882698059082,0.6,0.6388888888888888,0.46,0.5348837209302325,0.8589306100002432,983.9
